Column 1,Facility Type,Inmate Sex,State,City,ZIP Code,Physical Address,Inmate Mailing Address,Newspaper Delivery Address,Facility Phone Number,Website URL,Facility Mail Policy Link,Inmate Search Link,Contact Via Email,Facility Contact Name / Phone,Security Level,Population Size,Vendor Required,Approved Vendors,Vendor Approval Status,Books Allowed,Paperback Allowed,Hardcover Allowed,Single Magazine Allowed,Magazines Allowed,Newspapers Allowed,MailCall Newspapers Allowed,Tattoo Books Allowed,Urban Content Allowed,Restrictions,Sexually Explicit Content Allowed,Adult Magazines Allowed,Other,Must Ship Direct from Publisher,Used Books Allowed,Max Books Per Package / Shipment,Max Size of Publications Restriction,Special Notes on Packaging,Common Rejection Reasons,Strict Facility,Other,Mailroom Contact Name,Mailroom Phone,Mailroom Email,Last Updated Date,Source (Website/Phone/Other),Confidence Level,Internal Notes
Holmes County Sheriff's Office,Sheriff Office,Both,Ohio,Holmesville,44633,"8105 Township Rd 574, Holmesville, OH 44633","8105 Township Rd 574, Holmesville, OH 44633",,(330) 674-1936,https://www.holmescountysheriff.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taylor County Sheriff's Department,Sheriff Office,Both,Kentucky,Campbellsville,42718,"203 North Court Street, Suite 7
Campbellsville, KY  42718","203 North Court Street, Suite 7
Campbellsville, KY  42718",,(270) 465-4351,https://taylorcountyky.gov/sheriffs-department,,,sheriffadmin@taylorcounty.us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madison County Sheriff,Sheriff Office,Both,New York,Wampsville,13163,"138 N Court Street - Building 7
Wampsville, NY 13163","P.O. Box 16
Wampsville, NY 13163",,315-366-2318,https://www.madisoncounty.ny.gov/3010/Sheriff,https://www.madisoncounty.ny.gov/1719/Mail-Phone-Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sullivan County Sheriff,Sheriff Office,Both,New York,Monticello,12701,"
58 Old Route 17
Monticello, NY 12701","
58 Old Route 17
Monticello, NY 12701",,845-794-7102,https://www.sullivanny.gov/Departments/Sheriff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McHenry County Sheriff's Office,Sheriff Office,Both,Illinois ,Woodstock,60098,"

2200 N. Seminary Ave, Woodstock, IL 60098","

2200 N. Seminary Ave, Woodstock, IL 60098",,815-338-2144,https://www.mchenrysheriff.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Patricio County Sheriff,Sheriff Office,Both,Texas,Sinton,78387,"300 North Rachal
Sinton, TX 78387","300 North Rachal
Sinton, TX 78387",,361-364-9600,"https://www.sanpatriciocountytx.gov/page/sheriff",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gloucester County Sheriff,Sheriff Office,Both,New Jersey,Woodbury,/08096,"70 Hunter Street
Woodbury, NJ 08096","70 Hunter Street
Woodbury, NJ 08096",,856-384-4600,https://www.gloucestercountynj.gov/555/Sheriffs-Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Hempstead County Sheriff",Sheriff Office,Both,Arkansas,Hope,71801,"312 South Washington, Hope, AR 71801","312 South Washington, Hope, AR 71801",,870-777-6727 ,https://www.hempsteadcountysheriff.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clermont County Sheriff's Office,Sheriff Office,Both,Ohio,Batavia,45103,"4470 State Route 222
Batavia, OH 45103","4470 State Route 222
Batavia, OH 45103",,513.732.7500,https://clermontsheriff.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheyenne County Sheriff,Sheriff Office,Both,Kansas,Saint Francis,67756,"212 E. Washington Saint Francis, KS 67756","212 E. Washington Saint Francis, KS 67756",,(785) 332-8880,https://cncoks.us/sheriff/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baylor County Sheriff,Sheriff Office,Both,Texas,Seymour,76380,"101 S Washington
Seymour, TX 76380","101 S Washington
Seymour, TX 76380",,"(940) 889-3333",https://www.co.baylor.tx.us/page/baylor.Sheriff,,, darcy.white@co.baylor.tx.us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boyd County Sheriff's Office,Sheriff Office,Both,Kentucky,Catlettsburg,41129,"2900 Louisa Rd #1, Catlettsburg, KY 41129","2900 Louisa Rd #1, Catlettsburg, KY 
",,606) 739-5135,https://www.boydcountyky.gov/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coconino County Sheriff,Sheriff Office,Both,Arizona,Flagstaff,86001,"911 E Sawmill Rd, Flagstaff, AZ 86001","911 E Sawmill Rd, Flagstaff, AZ 86001
",,928) 774-4523,https://www.coconino.az.gov/325/Sheriff,https://www.coconino.az.gov/1949/Inmate-Mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boone County Jail",County Jail,Both,Kentucky,Burlington,41005,"3020 Conrad Ln, Burlington, KY 41005","3020 Conrad Ln, Burlington, KY 41005",,859) 334-2143,https://www.boonecountyky.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tripp County Sheriff
",County Jail,Both,South Dakota,Winner,57580,"200 E 3rd St, Winner, SD 57580","200 E 3rd St, Winner, SD 57580
",,605) 842-3600,https://www.trippcounty.us/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Louis County Jail,County Jail,Both,Missouri,Clayton,63105,"100 S Central Ave, Clayton, MO 63105","100 S Central Ave, Clayton, MO 63105
",,(314) 615-5245,https://stlouiscountymo.gov/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pendoreille County Sheriff,Sheriff Office,Both,Washington,Newport,99156,"331 S. Garden Ave
Newport, WA 99156","331 S. Garden Ave
PO Box 5075
Newport, WA 99156
",,(509) 447-3151,https://www.pendoreille.gov/,https://www.pendoreille.gov/sheriff/page/inmate-mailing-address-instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Benton County Jail
",County Jail,Both,Indiana,Fowler,47944,"105 S Lincoln Ave, Fowler, IN 47944","105 S Lincoln Ave, Fowler, IN 47944",, (765) 884-0080,https://www.bentoncounty.in.gov/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snyder County Sheriff's Office,Sheriff Office,Both,Pennyslvania,Middleburg,17842,"9 W Market St, Middleburg, PA 17842","9 W Market St, Middleburg, PA 17842",,"570) 837-3311",https://www.snydercounty.org/departments/sheriff/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wexford County Sheriff's Office
",Sheriff Office,Both,Michigan ,Cadillac,49601,"1015 Lincoln St, Cadillac, MI 49601","1015 Lincoln St, Cadillac, MI 49601",,(231) 779-9216,https://wexfordsheriff.org/,https://wexfordsheriff.org/mail/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liberty County Sheriff’s Office
",Sheriff Office,Both,Texas,Liberty,77575,"2400 Beaumont Ave, Liberty, TX 77575","2400 Beaumont Ave, Liberty, TX 77575",,936) 336-4500,https://www.libertytxsheriff.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butte County Sheriff's Office,Sheriff Office,Both,California,Oroville,95965,"5 Gillick Wy, Oroville, CA 95965","5 Gillick Wy, Oroville, CA 95965",,(530) 538-7321,https://www.buttecounty.net/,https://www.buttecounty.net/Search?searchPhrase=mail&pageNumber=1&perPage=10&departmentId=-1#docaccess-63383b76f709f71ae4215a2cea705f833aa011d15d797d7c94caa431785660bb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dakota County Sheriff",Sheriff Office,Both,Nebraska,Dakota City,68731,"1601 Broadway St, Dakota City, NE 68731","1601 Broadway St, Dakota City, NE 68731",,402) 987-2182,https://dakotacounty.ne.gov/webpages/sheriff/sheriff.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lee County Sheriff's Office",Sheriff Office,Both,Florida,Ford Myers,33912,"14750 Six Mile Cypress Parkway, Fort Myers, FL 33912 ","14750 Six Mile Cypress Parkway, Fort Myers, FL 33912 ",,"
239-477-1000",https://www.sheriffleefl.org/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prince William Sheriff's Office
",Sheriff Office,Both,Virginia,Manassas,20110,"9311 Lee Ave.
Manassas, VA 20110
","9311 Lee Ave.
Manassas, VA 20110
",,"
(703) 792-6070","https://www.pwcva.gov/department/sheriffs-office
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown County Sheriff's Office,Sheriff Office,Both,Ohio,Georgetown,45121,750 Mt. Orab Pike  Georgetown OH 45121,750 Mt. Orab Pike  Georgetown OH 45121,,"(937) 378-4435",https://www.browncountyohiosheriff.us/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaufort County Sheriff's Office,Sheriff Office,Both,South Carolina,Beaufort,29902,"2001 Duke St.
Beaufort, SC 29902","2001 Duke St.
Beaufort, SC 29902",,843-255-3200,https://bcso.net/contact-us/where-were-located/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comanche County Sheriff,Sheriff Office,Both,Oklahoma ,Lawton,73501,"315 SW 5th Street, #102
Lawton, Oklahoma 73501","315 SW 5th Street, #102
Lawton, Oklahoma 73501",,"(580) 353-4280","
https://sheriffcomanche.com/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayuga County Sheriff’s Office,Sheriff Office,Both,New York,Auburn,13021,"7445 County House Road
Auburn, New York 13021","7445 County House Road
Auburn, New York 13021",,"315-253-1222",https://www.cayugacounty.gov/1852/Sheriff,https://www.cayugacounty.gov/m/faq?cat=25#question-103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Lucie County Sheriff’s Office,Sheriff Office,Both,Florida,Fort Pierce,34981,"4700 W Midway Road 
Fort Pierce, FL 34981
","4700 W Midway Road 
Fort Pierce, FL 34981
",,772-462-7300,https://www.stluciesheriff.com/Directory.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oconto County Sheriff,Sheriff Office,Both,Wisconsin,Oconto,54153,"220 Arbutus Avenue
Oconto, WI 54153
","220 Arbutus Avenue
Oconto, WI 54153
",,920-834-6900,https://www.ocontocountywi.gov/396/Sheriffs-Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frederick County Sheriff's Office ,Sheriff Office,Both,Maryland,Frederick,21701,"110 Airport Drive East 
Frederick,MD 21701
","110 Airport Drive East 
Frederick,MD 21701
",,301-600-1046,https://www.frederickcosheriff.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Polk County Sheriff's Office",Sheriff Office,Both,Florida,Winter Havens,33880,"1891 Jim Keene Blvd
Winter Haven, FL 33880","1891 Jim Keene Blvd
Winter Haven, FL 33880",,"
863-298-6200 ",https://www.polksheriff.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bay County Sheriff's Office,Sheriff Office,Both,Florida,Panama City,32405,"3421 N Highway 77
Panama City, FL 32405
","P.O. Box 247
Phoenix, MD 21131",,(850) 747-4700,https://bayso.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Charles County Sheriff's Office",Sheriff Office,Both,Maryland,La Plate,20646,"6915 Crain Highway
La Plata, MD 20646","6915 Crain Highway
La Plata, MD 20646",,"301-932-2222",https://www.ccso.us/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otero County Sheriff,Sheriff Office,Both,New Mexico,Alamogordo,88310,"3208 N White Sands Blvd
Alamogordo, NM 88310","3208 N White Sands Blvd
Alamogordo, NM 88310",,575-443-2935,https://co.otero.nm.us/254/Sheriffs-Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mesa County Sheriff's Office ,Sheriff Office,Both,Colorado,Grand Junction,81501," 215 Rice St, Grand Junction, CO 81501"," 215 Rice St, Grand Junction, CO 81501",,(970) 244-3500,https://www.mesacounty.us/departments-and-services/sheriff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pershing County Sheriff's Office
",Sheriff Office,Both,Nevada,Lovelock,89419,"395 9th St.
Lovelock, NV 89419
","395 9th St.
Lovelock, NV 89419
",,(775) 273-2641,"
https://www.pershingcounty.net/government/sheriff_s_office/index.php",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clark County Sheriff
",Sheriff Office,Both,Kentucky ,Winchester,40391,"200 Maryland Ave., Winchester, KY 40391","200 Maryland Ave., Winchester, KY 40391",," 859-744-4390
",https://clark.kysheriff.org/wp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Boone County Sheriff",Sheriff Office,Both,Missouri,Columbia,65202,"2121 County Dr.
Columbia, MO 65202","2121 County Dr.
Columbia, MO 65202",,(573) 875-1111,https://www.boonemo.gov/sheriff// ,,,bcso@boonemo.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bergen County Sheriff's Office,Sheriff Office,Both,New Jersey,Hackensack,/07601,"2 Bergen County Plaza
Hackensack, NJ 07601","2 Bergen County Plaza
Hackensack, NJ 07601",,(201) 336-3500,https://www.bcsd.us/,"
https://www.bcsd.us/inmate-mail",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dukes County Sheriff's Office,Sheriff Office,Both,Massachusetts ,Edgartown,/02539,"149 Main Street, Edgartown MA 02539","149 Main Street, Edgartown MA 02539",,"
508-627-5173","
https://www.dukescountysheriff.com/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wagoner County Sheriff's Office,Sheriff Office,Both,OKlahoma ,Wagoner,744467,"307 E. Cherokee St., Wagoner, OK 74467","307 E. Cherokee St., Wagoner, OK 74467",,"918-485-3124",https://wagonercountyso.org/,"
https://wagonercountyso.org/visitation-mail-policies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceana County Sheriff’s Office,Sheriff Office,Both,Michigan ,Hart,49420,"216 Lincoln Street
Hart, MI 49420","216 Lincoln Street
Hart, MI 49420",,"(231) 873-2121",https://oceana.mi.us/courts-sheriff/sheriff/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinellas County Sheriff's Office,Sheriff Office,Both,Florida,Largo,33778,"10750 Ulmerton Road, Largo, FL 33778","10750 Ulmerton Road, Largo, FL 33778",,(727)582-6200,https://www.pinellassheriff.gov/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monterey County Sheriff’s Office,Sheriff Office,Both,California,Salinas,93906,"1414 Natividad Rd, Salinas, CA 93906","1414 Natividad Rd, Salinas, CA 93906",,831-755-3700,https://mcso.countyofmonterey.gov/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Placer County Sheriff's Office,Sheriff Office,Both,California,Auburn,95603,"2929 Richardson Drive
Auburn, CA 95603","2929 Richardson Drive
Auburn, CA 95603",,"530-889-7800",https://www.placer.ca.gov/10414/Sheriffs-Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Green County Sheriff",Sheriff Office,Both,Wisconsin,Green Lake,54941,"571 County Road A
Green Lake, WI 54941
","571 County Road A
Green Lake, WI 54941
",,920-294-4000,https://www.greenlakecountywi.gov/departments/sheriff/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clearwater County Sheriff,Sheriff Office,Both,Minnesota ,Bagley,56621,"213 Main Avenue North, Dept. 102
Bagley, MN 56621","213 Main Avenue North, Dept. 102
Bagley, MN 56621",,"218.694.6226","
https://clearwatercountymn.gov/sheriff",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henderson Sheriff County ,Sheriff Office,Both,Kentucky,Henderson,42420,"20 N Main Street
Henderson, KY 42420","20 N Main Street
Henderson, KY 42420",,270-826-2713,https://www.hendersoncountyky.gov/219/Sheriffs-Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowie County Sheriff,Sheriff Office,Both,Texas,Texarkana,75501,"100 North Stateline Ave
Texarkana, TX 75501
","100 North Stateline Ave
Texarkana, TX 75501
",,(903)798-3149,"https://www.co.bowie.tx.us/page/bowie.sheriff",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waso County Sheriff,Sheriff Office,Both,Oregon,Dalles,97058,"511 Washington St., Ste. 101, The Dalles, OR 97058","511 Washington St., Ste. 101, The Dalles, OR 97058",,541-506-2580,"
https://www.wascocountyor.gov/departments/sheriff/index.php",,,sheriff@wascocountyor.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richland County Sheriff Department,Sheriff Office,Both,South Carolina,Columbia,29223,"5623 Two Notch Rd
Columbia, SC 29223","5623 Two Notch Rd
Columbia, SC 29223",,"803-576-3000",https://www.rcsd.net/,,,Sheriff@rcsd.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis County Sheriff,Sheriff Office,Both,Utah,Farmington,84025," 800 West State Street Farmington, Utah 84025
"," 800 West State Street Farmington, Utah 84025
",, (801) 451-4100 ,"
https://www.daviscountyutah.gov/sheriff",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma County Sheriff's Office,Sheriff Office,Both,OKlahoma ,Oklahoma,73111,"2101 NE 36th St
Oklahoma City, OK 73111","2101 NE 36th St
Oklahoma City, OK 73111",,405-713-1000,https://www.oklahomacounty.org/elected-offices/sheriff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson County Sheriff's Office,Sheriff Office,Both,New Jersey ,Jersey City,/07306,"830 Bergen Ave. Jersey City, NJ 07306
","830 Bergen Ave. Jersey City, NJ 07306
",,201-369-5200,https://www.hudsoncountysheriff.com/oem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shannon County MO Sheriff's Office,Sheriff Office,Both,Missouri,Eminence,65466,"18078 2nd St, Eminence, MO 65466","18078 2nd St, Eminence, MO 65466",,(573) 226-3615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brevard County Sheriff’s Office,Sheriff Office,Both,Florida,Titusville,32780,"700 Park Ave., Titusville FL 32780","700 Park Ave., Titusville FL 32780",,321-264-5100,https://www.brevardsheriff.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston County Sheriff,Sheriff Office,Both,Wyoming,Newcastle,82701,"25 N. Sumner Ave. Newcastle, WY  82701

","25 N. Sumner Ave. Newcastle, WY  82701

",,307-746-4441,https://www.westongov.com/county-sheriff/,,,sheriff@westongov.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas County Sheriff's Department,Sheriff Office,Both,Arkansas,Fordyce,71742,"106 S.Charlotte St Fordyce,Ar 71742","106 S.Charlotte St Fordyce,Ar 71742",,(870)352-2002,https://www.dallascosoar.gov/,,,info@dallascosoar.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albemarle County Sheriff's Office ,Sheriff Office,Both,Virginia,Charlottesville,22902,"411 East High Street Building B 
Charlottesville, VA 22902  
","411 East High Street Building B 
Charlottesville, VA 22902  
",, (434) 972-4001 ,https://www.albemarleso.org/,,,SheriffsOffice@albemarle.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somerset County Sheriff,Sheriff Office,Both,New Jersey,Somerville,/08876,"20 Grove Street, Somerville, NJ 08876","20 Grove Street, Somerville, NJ 08876",,908-231-7140,https://www.somersetcountynj.gov/government/elected-officials/sheriff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saline County Sheriff's Office,Sheriff Office,Both,Kansas,Salina,67401,"800 E Pacific Ave
Salina, KS 67401
","800 E Pacific Ave
Salina, KS 67401
",,"
(785) 826-6500",https://www.salinecountyks.gov/sheriff-office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bergen County Sheriff's Office,Sheriff Office,Both,New Jersey,Hackensack,/07601,"2 Bergen County Plaza
Hackensack, NJ 07601","2 Bergen County Plaza
Hackensack, NJ 07601",, (201) 336-3500,https://www.bcsd.us/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klickitat County Sheriff's Office ,Sheriff Office,Both,Washington,Goldendale,98620,"205 S. Columbus Ave. Rm. 108
Goldendale, WA  98620","205 S. Columbus Ave. Rm. 108
Goldendale, WA  98620",,509-773-4455,https://www.klickitatcounty.gov/373/Sheriff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohave County Sheriff,Sheriff Office,Both,Arizona,Kingman,86402,"600 W. Beale St.
Kingman, Arizona 86402
","600 W. Beale St.
Kingman, Arizona 86402
",,928-753-9141,https://www.mohave.gov/departments/sheriff/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sterns County Sheriff,Sheriff Office,Both,Minnesota ,St.Cloud,56303,"807 Courthouse Square, Room S100
St. Cloud MN 56303
","807 Courthouse Square, Room S100
St. Cloud MN 56303
",,320-259-3702,https://www.stearnscountymn.gov/342/Sheriffs-Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harlan County
Sheriff's Office",Sheriff Office,Both,Kentucky,Harlan,40831,"210 E. Central St., Suite 202
Harlan, KY 40831
","210 E. Central St., Suite 202
Harlan, KY 40831
",,606-573-1313,https://www.harlancountysheriff.com/contact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tillman County Sheriff,Sheriff Office,Both,OKlahoma ,Frederick,73542,"1200 S Main 
Frederick,OK 73542
","1200 S Main 
Frederick,OK 73542
",,580.335.3013,"
https://tillman.okcounties.org/offices/county-sheriff",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perry County Sheriff's Office,Sheriff Office,Both,Alabama,Marion,36756,"202 Pickens St, Marion, AL 36756","202 Pickens St, Marion, AL 36756",,(334) 683-6534,https://www.perrycountyal.gov/departments/column-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denton County Sheriff,Sheriff Office,Both,Texas,Denton,76205,"127 N Woodrow Lane
Denton, TX 76205","127 N Woodrow Lane
Denton, TX 76205",,"940-349-1600","https://www.dentoncounty.gov/707/Sheriff",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juab County Sheriff's Office,Sheriff Office,Both,Utah,Nephi,84648,"425 West Sheeplane DR
Nephi, UT, 84648","425 West Sheeplane DR
Nephi, UT, 84648",,(435) 623-1344,"
https://www.juabsheriff.org/contact.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pueblo County Sheriff's Office,Sheriff Office,Both,Colorado,Pueblo,81003,"909 Court Street
Pueblo, CO 81003
","PO Box 247
Phoenix, MD 21131",,"719-583-6125","

https://www.sheriff.co.pueblo.co.us/Directory.aspx",https://www.sheriff.co.pueblo.co.us/392/Inmate-Mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monroe County Sheriff,Sheriff Office,Both,New York,Rochester,14614,"
 130 S. Plymouth Ave., Rochester, NY 14614","
 130 S. Plymouth Ave., Rochester, NY 14614",,"585 753-4178",https://www.monroecounty.gov/sheriff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Cook County Sheriff’s Office,Sheriff Office,Both,Illinois ,Chicago,60608,"3026 S. California Ave.
Chicago, Illinois 60608","3026 S. California Ave.
Chicago, Illinois 60608",,(312) 603-3365,https://cookcountysheriffil.gov/contact-us/,,,CCSO@ccsheriff.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genesee County Sheriff's Office,Sheriff Office,Both,New York,Batavia,14020,"
 165 Park Road, Batavia, New York 14020","
 165 Park Road, Batavia, New York 14020",,(585) 345-3000,https://www.geneseeny.gov/Home,,,sheriff.dept@geneseeny.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grays Harbor Sheriff's Office,Sheriff Office,Both,Washington,Montesano,98563,"100 W Broadway Ave, Suite 3
Montesano, WA 98563","100 W Broadway Ave, Suite 3
Montesano, WA 98563",,"(360) 249-3711",https://www.graysharbor.us/departments/sheriff/index.php,,,soadmin@graysharbor.us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan Sheriff County ,Sheriff Office,Both,Michigan ,Lansing,48933,"620 S Capitol Ave, Suite 320A
Lansing, MI 48933","620 S Capitol Ave, Suite 320A
Lansing, MI 48933",,(517) 485-3135,https://www.misheriff.org/sheriffs-offices/,,,msa@misheriff.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherokee County Georgia Sheriff's Office-Headquarters,Sheriff Office,Both,Georgia,Canton,30114,"498 Chattin Dr,Canton,GA 30114","498 Chattin Dr,Canton,GA 30114",,(678)493-4200,https://sheriff.cherokeecountyga.gov/contact_us.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyandotte County Sheriff's Office,Sheriff Office,Both,Kansas,Kansas City,66101,"710 N 7th St.
Kansas City, KS
66101
","710 N 7th St.
Kansas City, KS
66101
",,(913) 573-2861,https://www.wycokck.org/Departments/Sheriffs-Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Presque Isle Sheriff's Office,Sheriff Office,Both,Michigan ,Rogers City,49779,"267 N 2nd St.
Rogers City, Mi  49779","267 N 2nd St.
Rogers City, Mi  49779",,(989) 734-2156,http://www.presqueislesheriff.com/,"
http://www.presqueislesheriff.com/jailinformation.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greene County Sheriff,Sheriff Office,Both,Ohio,Xenia,45385,"2295 Greene Way Blvd
Xenia, OH 45385","2295 Greene Way Blvd
Xenia, OH 45385",,(937)562-4800,"
https://sheriff.greenecountyohio.gov/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cibola County Sheriff,Sheriff Office,Both,New Mexico,Grants,87020,"700 East Roosevelt, 
Suite 50, Grants, NM 87020","700 East Roosevelt, 
Suite 50, Grants, NM 87020",,(505) 876-2040,https://www.cibolacountynm.com/departments/sheriffs_office/index.php,larry.diaz@cibolacounty.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brevard County Sheriff’s Office,Sheriff Office,Both,Florida,Titusville,32780,"700 Park Ave., Titusville FL 32780
","700 Park Ave., Titusville FL 32780
",,(321)264-5201,"https://www.brevardsheriff.com/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franklin County Sheriff,Sheriff Office,Both,Idaho,Preston,83263,"39 West Oneida, Preston, ID 83263","39 West Oneida, Preston, ID 83263",,208-852-1090,https://www.franklincountyidaho.org/county_justice/sheriffs_office.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall County Sheriff,Sheriff Office,Both,Alabama,Guntersville,35976,"423 Blount Ave Guntersville, AL 35976","423 Blount Ave Guntersville, AL 35976",,256-582-2034,https://www.marshallso.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
